business,wbusiness,entertainment,wentertainment,travel,wtravel,sports,wsports,health,whealth,technology,wtechnology,politics,wpolitics,animals,wanimals,shopping,wshopping
busi,3,song,3,build,1,physic,3,energi,1,autom,1,campaign,1,beast,1,brow,1
employ,3,screenplay,3,foundat,1,sport,3,fit,1,machineri,3,govern,3,creatur,1,ecommerc,3
economi,3,album,3,galleri,3,cricket,3,strength,1,comput,3,state,1,pet,3,spend,1
gdp,3,stage,3,hall,1,ball,3,well-b,3,mechan,1,civic,1,anim,3,purcha,3
money,1,perform,3,institut,1,bat,3,bloom,1,telcom,3,elect,3,brute,1,deprat,1
entrepreneur,3,melod,1,librari,1,score,1,complexion,1,robot,3,polici,1,bum,1,commerc,3
ecommerc,3,opera,3,tower,1,athlet,3,condit,1,telecomm,3,legislatur,3,critter,1,boutiqu,3
trade,3,fan,1,depositori,1,recreat,1,anxiet,3,scienc,1,politi,3,invertebr,1,chain,1
work,1,rap,3,exhibit,1,game,1,fettl,1,electron,3,statecraft,1,mutt,1,deli,1
vocat,1,rock,1,menageri,1,wicket,3,form,1,hitech,3,domest,1,stray,1,store,3
biz,3,season,1,repositori,1,action,1,hale,1,tech,3,foreign,1,varmint,1,emporium,1
career,1,soul,1,storeh,1,amus,1,hardihood,1,industri,1,polic,1,vertebr,1,market,3
pursuit,1,tune,1,treasuri,1,disport,1,hardi,1,compon,1,affair,1,live,1,mill,1
livelihood,1,acoust,3,vault,1,diver,1,health,3,scientif,3,polit,3,wild,1,outlet,3
occup,1,metal,1,obelisk,1,exerci,1,healthi,3,technic,3,stateship,1,puppi,3,showroom,3
bank,1,bebop,1,monolith,3,frolic,1,stamina,3,technolog,3,parliament,3,pedigr,3,stand,1
e-commerc,3,bop,1,art,3,gaieti,1,shape,1,weapon,1,democraci,3,dog,3,cloth,1
commerc,3,chamber,1,craft,3,play,1,eupepsia,1,machin,1,judiciari,3,cat,3,supermarket,3
econom,3,classic,1,paint,3,hockey,3,robust,1,phone,1,mla,3,eleph,3,jean,1
invest,3,folk,1,color,1,tenni,3,salubri,1,gadget,3,mp,3,giraff,3,jacket,1
account,1,fusion,1,graveston,1,baseb,3,salubr,1,mobil,1,minist,3,cow,3,tshirt,1
financ,3,harmoni,3,headston,1,ipl,3,whole,1,laptop,1,leader,1,fish,3,t-shirt,1
manag,1,hymn,3,masterpiec,1,footbal,3,verdur,1,tablet,3,power,1,domest,1,shirt,1
bill,1,jazz,3,mausoleum,3,chess,3,vigor,1,tab,1,law,3,bewar,1,belt,1
capit,1,measur,1,pillar,1,match,3,energ,1,googl,1,warfar,1,livestock,1,shoe,1
cash,1,genr,3,shrine,1,leagu,3,metabol,3,ibm,3,war,1,parrot,3,sock,1
check,1,plainsong,3,slab,1,bpl,3,weight,1,microsoft,3,histori,1,turtl,3,buy,3
fund,1,ragtim,1,statu,3,worldcup,3,gene,3,internet,1,republ,3,lizard,3,dress,1
pay,1,music,3,testament,1,cup,1,biolog,3,net,1,justic,3,snake,3,categori,1
payment,1,entertain,3,tomb,3,trofe,1,nutrit,3,web,1,judici,3,reptil,3,bag,1
properti,1,cinema,3,footston,3,medal,1,protein,3,www,3,court,1,mammal,3,accessori,1
salari,3,film,3,tombston,3,olymp,3,carbohydr,3,engin,1,corrupt,3,pig,3,beauti,1
wage,3,flick,1,cairn,1,championship,3,fat,3,motor,1,countri,1,rat,3,jewelleri,3
wealth,1,motion,1,cenotaph,1,champion,3,junk,3,car,1,capit,1,bird,3,adida,3
banknot,1,show,1,commemor,1,playoff,3,food,1,helecopt,1,communist,3,amphibian,3,nike,3
bankrol,1,videotap,3,ledger,1,team,1,exerci,3,plane,1,riot,1,guinea,3,puma,3
incom,3,celluloid,1,memento,1,rule,1,gym,3,cyber,1,protest,1,chicken,1,gucci,3
buck,1,sing,3,airplan,1,goal,3,muscl,1,cybercultur,1,bjp,3,gee,3,brand,3
chip,1,talki,1,aeroplan,1,warmup,3,nutrient,3,hack,3,congress,3,dove,1,sale,3
coin,1,cine,1,train,1,limber,3,muscular,1,code,3,legisl,3,crow,3,discount,3
coinag,1,cinemat,3,roadtrip,3,club,1,cardiovascular,3,server,3,assembl,3,zoo,3,footwear,3
dough,1,cinematograph,3,journey,3,coach,3,heart,1,databa,3,sansad,3,,,hat,1
profess,1,photoplay,1,travel,3,captain,1,lung,3,havard,1,lok,3,,,boot,1
entrepreneurship,3,screen,1,tour,3,keeper,3,smoke,1,standford,1,rajya,3,,,leather,1
gold,1,pictur,1,ship,1,cycl,1,cigarett,1,mit,3,sabha,1,,,apparel,1
gravi,1,movi,3,raft,1,billiard,3,cigar,1,intellig,1,presid,1,,,ebay,3
greenback,1,award,1,climb,1,espn,3,alcohol,1,construct,1,committ,1,,,flipkart,3
loot,1,dialogu,3,sail,1,starsport,3,diet,3,manufactur,1,,,,,flipkart.com,3
peso,1,biz,3,glide,1,sportsmanship,3,physiqu,1,transistor,3,,,,,ebay.com,3
resourc,1,,,trip,3,box,1,yoga,3,modern,1,,,,,amazon.com,3
job,1,,,camp,3,wrestl,3,meal,1,chemic,1,,,,,amazon,3
rich,1,,,bonfir,3,umpir,3,juic,1,prosthesi,3,,,,,catogori,1
silver,1,,,recreat,1,refer,3,run,1,mathemat,1,,,,,product,1
speci,1,,,vacat,3,linesman,3,sprint,3,agricultur,1,,,,,custom,2
treasur,1,,,pilgrimag,3,lineman,3,breakfast,3,archaeolog,3,,,,,shop,3
wad,1,,,explor,1,,,dinner,1,biotech,3,,,,,collect,1
wherewith,1,,,passport,3,,,calori,3,biolog,1,,,,,antiqu,1
dollar,1,,,visa,3,,,organ,1,nano,3,,,,,consum,1
legal,3,,,round-trip,3,,,virus,3,neuro,3,,,,,hoodi,3
exchang,1,,,itinerari,3,,,remedi,3,neurosci,3,,,,,,
,,,,seatbelt,1,,,gluco,3,applianc,1,,,,,,
,,,,mountain,3,,,ligament,3,,,,,,,,
,,,,valley,3,,,disabl,3,,,,,,,,
,,,,casino,3,,,obe,3,,,,,,,,
,,,,mall,1,,,stress,1,,,,,,,,
,,,,hotel,1,,,disea,3,,,,,,,,
,,,,restaur,1,,,injuri,3,,,,,,,,
,,,,,,,,tuberculosi,3,,,,,,,,
,,,,,,,,malaria,3,,,,,,,,
,,,,,,,,diabet,3,,,,,,,,
,,,,,,,,cancer,3,,,,,,,,
,,,,,,,,depress,1,,,,,,,,
,,,,,,,,drug,3,,,,,,,,
,,,,,,,,depriv,1,,,,,,,,
,,,,,,,,nur,1,,,,,,,,
,,,,,,,,doctor,3,,,,,,,,
,,,,,,,,hospit,3,,,,,,,,
,,,,,,,,clinic,3,,,,,,,,
,,,,,,,,chronic,1,,,,,,,,
,,,,,,,,infecti,3,,,,,,,,
,,,,,,,,infect,3,,,,,,,,
,,,,,,,,expect,1,,,,,,,,
,,,,,,,,floss,3,,,,,,,,
,,,,,,,,teeth,1,,,,,,,,
,,,,,,,,tooth,1,,,,,,,,
,,,,,,,,symptom,3,,,,,,,,
,,,,,,,,diarrhoea,3,,,,,,,,
,,,,,,,,prosthesi,3,,,,,,,,
